name,website,region,town,holes,clubId,in_seed
Glasgow Golf Club,https://glasgowgolfclub.com/,East Dunbartonshire,Glasgow,18,2273,
Glasgow Golf Union,https://www.glasgowgolfunion.com,Glasgow,,18,2274,
Gleddoch Resorts Ltd,https://www.gleddoch.com/,Renfrewshire,Port Glasgow,18,2276,
Glen Golf Club,http://www.glengolfclub.co.uk,East Lothian,North Berwick,18,2277,yes
Glenbervie Golf Club,http://www.glenberviegolfclub.com,Falkirk,Larbert,18,2279,
Glencorse Golf Club,https://www.glencorsegolfclub.com/,Midlothian,Penicuik,18,2280,
Glencruitten Golf Club,https://golfoban.com/,Argyll & Bute,Oban,18,2281,
Gleneagles,http://www.gleneagles.com,Perth & Kinross,Auchterarder,18,2282,yes
Glenearn Golf Club,https://glenearngolfclub.co.uk/,Perth & Kinross,Auchterarder,18,2283,
Glenrothes Golf Club,http://www.glenrothesgolf.org.uk/,Fife,Glenrothes,18,2284,
Gogarburn Golf Club,https://www.gogarburngc.com/,Edinburgh,Newbridge,18,2285,
Golf House Club Elie,https://www.golfhouseclub.co.uk/members/,Fife,Leven,18,2288,
Golf South Ayrshire Golf Club,http://www.golfsouthayrshire.com,South Ayrshire,Troon,18,2644,
Golspie Golf Club,https://www.golspiegolfclub.co.uk/,Highland,Golspie,18,2292,
Gourock Golf Club,https://gourockgolfclub.com/,Inverclyde,Inverclyde,18,2294,
Grange & Broughty Golf Club,https://grangeandbroughtygc.co.uk/,Angus,Dundee,18,2295,
Grangemouth Golf Club,http://www.grangemouthgolfclub.co.uk/,Falkirk,Falkirk,18,2296,
Grantown-on-Spey Golf Club,http://www.grantownonspeygc.co.uk,Highland,Grantown-on-Spey,18,2297,
Greenburn Golf Club,https://www.greenburngolfclub.co.uk/,West Lothian,Bathgate,18,2298,
Greenhills Golf Club,https://greenhillsgolfclub.co.uk,South Lanarkshire,,18,2299,
Greenock Golf Club,https://greenockgolfclub.co.uk/,Inverclyde,Greenock,18,2300,
Greenock Whinhill Golf Club,https://ilactivegolf.com/,Inverclyde,Inverclyde,18,2301,
Gullane Golf Club,https://www.gullanegolfclub.com,East Lothian,Gullane,18,2303,
